Fecha de despacho Solicitada,cluster_id_dia,ventana,n_nodos,n_pedidos,volumen_cluster_m3,peso_cluster_kg,dist_prom_deposito_km,dist_max_deposito_km,distancia_estimada_ruta_km,tiempo_viaje_estimado_h,tiempo_servicio_estimado_h,tiempo_total_estimado_h,estado_tiempo_cluster,uso_vol_pct,uso_peso_pct
2026-12-02,1,AM,14,14,13.228068,1900.203,8.277171769826007,14.318723105197344,27.754343539652012,1.1101737415860804,2.3333333333333335,3.443507074919414,OK,0.29395706666666666,0.2533604
2026-12-03,1,AM,16,16,15.277325,2104.609,9.604154524596314,14.318723105197344,32.00830904919263,1.2803323619677054,2.6666666666666665,3.946999028634372,OK,0.3394961111111111,0.2806145333333333
2026-12-03,2,PM,10,11,13.77767,2092.6459999999997,6.043170945738483,11.978958641700142,20.086341891476966,0.8034536756590787,1.6666666666666667,2.470120342325745,OK,0.30617044444444447,0.2790194666666666
2026-12-03,3,AM,17,17,15.921788,2375.985,4.8458706024171425,14.523262922181557,23.29174120483429,0.9316696481933715,2.8333333333333335,3.765002981526705,OK,0.3538175111111111,0.316798
2026-12-03,4,PM,15,15,15.995061,2414.889,4.234612040928536,5.391488480207241,20.46922408185707,0.8187689632742828,2.5,3.318768963274283,OK,0.3554458,0.3219852
2026-12-03,5,AM,18,18,15.598395,2284.737,7.578571617059438,11.34095625913535,29.557143234118875,1.182285729364755,3.0,4.1822857293647555,OK,0.346631,0.3046316
2026-12-03,6,AM,6,6,12.664366000000001,1824.827,13.55567839443689,14.17700515083564,31.911356788873782,1.2764542715549512,1.0,2.276454271554951,OK,0.28143035555555557,0.24331026666666666
2026-12-03,7,PM,2,2,5.095141,633.2330000000001,14.934585494053167,15.294832662831563,31.469170988106335,1.2587668395242533,0.3333333333333333,1.5921001728575865,OK,0.11322535555555556,0.08443106666666668
2026-12-04,1,AM,15,15,15.220853,2191.135,8.304386757104034,14.318723105197344,28.608773514208067,1.1443509405683228,2.5,3.644350940568323,OK,0.3382411777777778,0.2921513333333334
2026-12-04,2,AM,15,17,13.904326,1961.069,4.393436181260361,9.398203742506968,20.78687236252072,0.8314748945008289,2.5,3.331474894500829,OK,0.3089850222222222,0.26147586666666667
2026-12-04,3,AM,9,9,15.333779,2258.57,6.3733533588347,13.73508922565342,19.9467067176694,0.797868268706776,1.5,2.297868268706776,OK,0.3407506444444444,0.30114266666666667
2026-12-04,4,PM,13,14,15.53822,2231.063,3.3495478836458785,3.571692109400136,17.099095767291757,0.6839638306916703,2.1666666666666665,2.850630497358337,OK,0.3452937777777778,0.2974750666666667
2026-12-04,5,PM,12,13,15.34028,2193.7889999999998,3.8750949501424956,4.364748051781916,17.35018990028499,0.6940075960113997,2.0,2.6940075960114,OK,0.3408951111111111,0.29250519999999997
2026-12-04,6,PM,12,12,13.165955,1894.436,5.4978302271874675,6.855985091376877,20.595660454374936,0.8238264181749975,2.0,2.8238264181749972,OK,0.2925767777777778,0.25259146666666665
2026-12-04,7,AM,13,13,13.355592,2049.575,8.300273704817098,10.987952818090028,27.000547409634194,1.0800218963853678,2.1666666666666665,3.246688563052034,OK,0.29679093333333334,0.27327666666666667
2026-12-04,8,AM,12,12,15.515395,2222.583,13.515779423317356,15.764502990970486,36.63155884663472,1.4652623538653886,2.0,3.4652623538653886,OK,0.34478655555555554,0.2963444
2026-12-04,9,PM,1,2,1.262093,190.967,16.841565988059536,16.841565988059536,34.48313197611907,1.3793252790447628,0.16666666666666666,1.5459919457114295,OK,0.02804651111111111,0.025462266666666667
2026-12-05,1,AM,11,11,15.812981,2228.98,8.028228711505134,12.466294011521182,24.85645742301027,0.9942582969204108,1.8333333333333333,2.8275916302537443,OK,0.3513995777777778,0.2971973333333333
2026-12-05,2,AM,13,13,15.549114999999999,2243.659,7.978363016847411,13.835012998361089,26.356726033694823,1.0542690413477929,2.1666666666666665,3.2209357080144594,OK,0.34553588888888886,0.29915453333333336
2026-12-05,3,PM,9,9,15.424145,2079.016,7.8243242121389835,12.62342209080618,22.848648424277968,0.9139459369711187,1.5,2.4139459369711185,OK,0.34275877777777775,0.2772021333333333
2026-12-05,4,AM,18,19,14.278771,2137.42,7.105837936896868,14.43470963473996,28.611675873793736,1.1444670349517494,3.0,4.14446703495175,OK,0.31730602222222226,0.2849893333333333
2026-12-05,5,PM,5,5,11.316732,1521.9669999999999,2.3467927215522666,2.66604855565573,8.693585443104533,0.3477434177241813,0.8333333333333334,1.1810767510575146,OK,0.2514829333333333,0.2029289333333333
2026-12-05,6,PM,8,8,15.637764,2096.885,3.0741392101573015,3.164866207510601,12.548278420314602,0.5019311368125841,1.3333333333333333,1.8352644701459173,OK,0.34750586666666666,0.2795846666666667
2026-12-05,7,AM,16,17,15.994725,2315.775,3.5871830898815253,3.7486408741037023,19.974366179763052,0.7989746471905221,2.6666666666666665,3.465641313857189,OK,0.35543833333333336,0.30877
2026-12-05,8,PM,14,15,15.77108,2134.849,4.531512738275593,5.298721821322282,20.263025476551185,0.8105210190620474,2.3333333333333335,3.143854352395381,OK,0.3504684444444444,0.28464653333333334
2026-12-05,9,AM,18,18,15.195179,2261.163,8.590673515653087,13.163859840310373,31.581347031306173,1.263253881252247,3.0,4.263253881252247,OK,0.33767064444444445,0.3014884
2026-12-05,10,PM,3,3,2.520283,327.084,15.418629262728684,16.26312095052242,33.23725852545737,1.3294903410182948,0.5,1.8294903410182948,OK,0.05600628888888889,0.0436112
2026-12-06,1,AM,17,18,13.342483,2027.9260000000002,8.131043427942428,14.318723105197344,29.862086855884858,1.1944834742353942,2.8333333333333335,4.027816807568728,OK,0.2964996222222222,0.27039013333333334
2026-12-06,2,PM,12,12,15.997621,2257.971,7.66735710693133,14.318723105197344,24.934714213862662,0.9973885685545065,2.0,2.9973885685545065,OK,0.3555026888888889,0.3010628
2026-12-06,3,AM,16,16,15.01385,2318.963,7.273798481760133,12.889677029945377,27.347596963520267,1.0939038785408106,2.6666666666666665,3.760570545207477,OK,0.3336411111111111,0.3091950666666667
2026-12-06,4,AM,17,17,15.936085,2425.992,5.488071101302153,16.253267269649964,24.57614220260431,0.9830456881041724,2.8333333333333335,3.816379021437506,OK,0.3541352222222222,0.3234656
2026-12-06,5,PM,17,17,15.117505000000001,2096.482,3.547952971625919,3.764203992808543,20.695905943251837,0.8278362377300735,2.8333333333333335,3.661169571063407,OK,0.3359445555555556,0.27953093333333334
2026-12-06,6,PM,11,11,15.593031,2270.101,4.658746303549689,5.391488480207241,18.11749260709938,0.7246997042839751,1.8333333333333333,2.5580330376173084,OK,0.3465118,0.3026801333333333
2026-12-06,7,PM,15,16,14.801145,2375.391,6.539942728486148,9.296819787227928,25.079885456972296,1.0031954182788918,2.5,3.503195418278892,OK,0.3289143333333333,0.3167188
2026-12-06,8,AM,8,8,14.156654,1855.108,12.225040304812932,16.39342272540703,30.850080609625863,1.2340032243850345,1.3333333333333333,2.5673365577183676,OK,0.3145923111111111,0.24734773333333332
2026-12-07,1,AM,15,15,15.731273,2311.784,8.979414440247387,13.161939870068998,29.958828880494774,1.198353155219791,2.5,3.698353155219791,OK,0.34958384444444446,0.3082378666666667
2026-12-07,2,AM,9,9,12.562729000000001,1843.19,14.204063020417802,14.698803023270017,35.60812604083561,1.4243250416334243,1.5,2.9243250416334243,OK,0.27917175555555557,0.24575866666666668
2026-12-07,3,PM,10,10,15.442088,1964.764,5.063039502474654,11.71004583621439,18.126079004949307,0.7250431601979723,1.6666666666666667,2.391709826864639,OK,0.3431575111111111,0.2619685333333333
2026-12-07,4,PM,8,8,14.163877,1999.752,3.7113080200986146,6.979560284067216,13.822616040197229,0.5529046416078891,1.3333333333333333,1.8862379749412224,OK,0.31475282222222223,0.26663359999999997
2026-12-07,5,AM,10,11,15.247081000000001,2402.326,8.764664545673519,12.106285054497729,25.529329091347037,1.0211731636538814,1.6666666666666667,2.687839830320548,OK,0.33882402222222224,0.32031013333333336
2026-12-07,6,PM,13,13,15.339694,2229.167,2.959477429081528,3.33039507838809,16.318954858163057,0.6527581943265223,2.1666666666666665,2.819424860993189,OK,0.3408820888888889,0.2972222666666667
2026-12-07,7,AM,14,15,15.364374,2156.421,3.9288433529051643,4.364748051781916,19.05768670581033,0.7623074682324131,2.3333333333333335,3.0956408015657466,OK,0.34143053333333334,0.28752279999999997
2026-12-07,8,PM,9,9,14.208021,2007.899,5.589817910459091,7.157847350200165,18.379635820918182,0.7351854328367273,1.5,2.2351854328367273,OK,0.3157338,0.26771986666666664
2026-12-07,9,AM,13,13,15.136332,2234.393,7.670453117788085,8.605305383097061,25.74090623557617,1.0296362494230467,2.1666666666666665,3.196302916089713,OK,0.33636293333333334,0.2979190666666667
2026-12-07,10,AM,11,11,15.060466,2221.467,12.895173312871531,15.31653652107811,34.59034662574307,1.3836138650297227,1.8333333333333333,3.216947198363056,OK,0.33467702222222223,0.2961956
2026-12-07,11,PM,1,1,1.39013,174.706,16.326264557619446,16.326264557619446,33.45252911523889,1.3381011646095555,0.16666666666666666,1.5047678312762223,OK,0.03089177777777778,0.02329413333333333
2026-12-08,1,PM,12,13,15.840865,2341.108,6.083023729147622,10.726795920508902,21.766047458295247,0.8706418983318099,2.0,2.87064189833181,OK,0.35201922222222226,0.31214773333333334
2026-12-08,2,AM,18,19,15.848891,2524.187,8.391086189118964,14.318723105197344,31.18217237823793,1.247286895129517,3.0,4.247286895129517,OK,0.35219757777777777,0.33655826666666666
2026-12-08,3,AM,18,18,15.435375,2475.682,7.605253411367839,13.454014249305205,29.61050682273568,1.184420272909427,3.0,4.184420272909427,OK,0.34300833333333336,0.3300909333333333
2026-12-08,4,PM,17,17,15.275998,2412.95,2.9466317731622484,3.164866207510601,19.4932635463245,0.77973054185298,2.8333333333333335,3.6130638751863136,OK,0.33946662222222224,0.32172666666666666
2026-12-08,5,AM,18,18,15.797058999999999,2713.014,3.5306747036724464,3.7486408741037023,21.461349407344894,0.8584539762937957,3.0,3.858453976293796,OK,0.35104575555555556,0.36173520000000003
2026-12-08,6,PM,15,16,15.865353,2414.812,4.137946191888,4.5369039656375625,20.275892383776,0.81103569535104,2.5,3.3110356953510403,OK,0.3525634,0.3219749333333333
2026-12-08,7,PM,14,15,14.641212,2079.963,6.212767319273418,7.84266427801248,23.62553463854684,0.9450213855418735,2.3333333333333335,3.278354718875207,OK,0.3253602666666667,0.27732840000000003
