fecha,ventana,cluster_id_dia,n_nodos,n_nodos_servidos,n_nodos_no_servidos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-12,AM,4,12,12,0,14.9,2094.033,2,65.158,0.039
2026-12-12,AM,6,18,18,0,15.49,2355.449,2,19.633,0.044
2026-12-12,AM,8,17,17,0,14.626,2154.61,2,55.513,0.047
2026-12-12,PM,3,12,12,0,15.797,2343.86,2,43.215,0.041
2026-12-12,PM,5,17,17,0,15.715,2345.967,2,14.257,0.043
2026-12-12,PM,7,12,12,0,14.794,2089.884,2,23.868,0.04
2026-12-12,PM,9,8,8,0,10.121,1619.716,2,65.475,0.038
2026-12-13,AM,1,16,16,0,15.814,2427.364,2,47.166,0.053
2026-12-13,AM,10,14,14,0,15.347,2341.325,2,52.856,0.043
2026-12-13,AM,11,14,14,0,14.746,2116.764,2,73.07,0.045
2026-12-13,AM,2,16,16,0,15.91,2439.569,2,75.873,0.041
2026-12-13,AM,4,11,11,0,14.382,1977.68,2,59.676,0.039
2026-12-13,AM,9,14,14,0,15.397,2079.43,2,27.523,0.042
2026-12-13,PM,3,15,15,0,14.918,2383.861,2,59.388,0.044
2026-12-13,PM,5,9,9,0,14.2,2061.865,2,39.103,0.04
2026-12-13,PM,6,9,9,0,14.315,2128.203,2,13.158,0.038
2026-12-13,PM,7,14,14,0,15.669,2346.116,2,16.357,0.041
2026-12-13,PM,8,15,15,0,15.596,2181.702,2,18.194,0.043
2026-12-14,AM,1,13,13,0,15.957,1969.593,2,43.044,0.04
2026-12-14,AM,10,16,16,0,12.175,1631.999,2,68.157,0.047
2026-12-14,AM,2,18,18,0,15.42,2794.594,2,80.753,0.053
2026-12-14,AM,4,16,16,0,14.635,2182.52,2,68.029,0.044
2026-12-14,AM,9,10,10,0,15.248,2013.087,2,41.132,0.037
2026-12-14,PM,3,11,11,0,14.394,2091.755,2,43.959,0.038
2026-12-14,PM,5,13,13,0,15.711,2334.578,2,14.955,0.04
2026-12-14,PM,6,14,14,0,15.945,2340.528,2,18.593,0.04
2026-12-14,PM,7,9,9,0,12.535,1903.213,2,24.094,0.04
2026-12-14,PM,8,8,8,0,15.783,2031.583,2,28.655,0.036
2026-12-15,AM,1,14,14,0,13.505,1935.145,2,43.854,0.043
2026-12-15,AM,11,13,13,0,14.853,2222.464,2,69.744,0.043
2026-12-15,AM,2,9,9,0,13.298,1801.373,2,55.14,0.039
2026-12-15,AM,3,11,11,0,15.129,2268.418,2,63.791,0.042
2026-12-15,AM,5,13,13,0,15.954,2271.566,2,61.195,0.047
2026-12-15,AM,6,15,15,0,15.536,2250.187,2,15.174,0.04
2026-12-15,PM,10,9,9,0,14.689,1986.981,2,32.811,0.038
2026-12-15,PM,4,11,11,0,15.241,2056.513,2,42.973,0.037
