fecha,ventana,cluster_id_dia,n_nodos_cluster,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas_cluster,km_totales_cluster,ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
2026-12-20,PM,2,6,7.355,1126.991,1,29.043,1,"[0, 1442, 1446, 916, 1158, 367, 454, 0]",6,7.355,1126.991,29.043,1.162,1.0,0.0,2.162,81.73,37.57
2026-12-20,PM,3,6,8.904,1264.266,1,26.078,1,"[0, 1460, 928, 1363, 1908, 1186, 1614, 0]",6,8.904,1264.266,26.078,1.153,1.0,0.0,2.153,98.93,42.14
2026-12-20,PM,5,7,8.388,1215.957,1,30.987,1,"[0, 652, 674, 2094, 2108, 1513, 2248, 2254, 0]",7,8.388,1215.957,30.987,1.249,1.167,0.0,2.416,93.2,40.53
2026-12-20,PM,6,9,7.484,1107.986,1,29.944,1,"[0, 531, 528, 497, 498, 499, 2231, 1212, 1381, 1384, 0]",9,7.484,1107.986,29.944,1.198,1.5,0.0,2.698,83.15,36.93
2026-12-21,AM,1,13,8.906,1355.448,1,29.879,1,"[0, 251, 914, 1157, 1020, 63, 55, 50, 46, 80, 82, 91, 452, 457, 0]",13,8.906,1355.448,29.879,1.195,2.167,0.0,3.362,98.96,45.18
2026-12-21,AM,10,3,7.611,922.749,1,31.684,1,"[0, 123, 381, 394, 0]",3,7.611,922.749,31.684,1.267,0.5,0.0,1.767,84.56,30.76
2026-12-21,AM,11,7,8.855,1319.641,1,28.881,1,"[0, 1475, 689, 562, 579, 126, 127, 400, 0]",7,8.855,1319.641,28.881,1.155,1.167,0.0,2.322,98.39,43.99
2026-12-21,AM,12,7,7.94,1124.116,1,29.973,1,"[0, 1504, 719, 1083, 1088, 116, 564, 565, 0]",7,7.94,1124.116,29.973,1.199,1.167,0.0,2.366,88.23,37.47
2026-12-21,AM,16,10,8.869,1328.345,1,28.879,1,"[0, 1795, 1715, 1725, 1733, 1740, 594, 1232, 269, 188, 193, 0]",10,8.869,1328.345,28.879,1.155,1.667,0.0,2.822,98.54,44.28
2026-12-21,AM,2,3,5.412,788.743,1,29.039,1,"[0, 1250, 463, 487, 0]",3,5.412,788.743,29.039,1.162,0.5,0.0,1.662,60.14,26.29
2026-12-21,AM,23,10,8.622,1597.311,1,20.611,1,"[0, 228, 240, 242, 243, 950, 1371, 876, 907, 1388, 1047, 0]",10,8.622,1597.311,20.611,0.824,1.667,0.0,2.491,95.8,53.24
2026-12-21,AM,3,4,7.789,922.237,1,29.837,1,"[0, 1150, 375, 488, 1176, 0]",4,7.789,922.237,29.837,1.193,0.667,0.0,1.86,86.55,30.74
2026-12-21,AM,6,6,8.966,1222.829,1,24.605,1,"[0, 808, 766, 759, 758, 745, 1340, 0]",6,8.966,1222.829,24.605,0.984,1.0,0.0,1.984,99.62,40.76
2026-12-21,AM,7,11,8.131,1285.998,1,37.934,1,"[0, 643, 661, 146, 2210, 2233, 1010, 2248, 2227, 27, 1518, 1491, 0]",11,8.131,1285.998,37.934,1.629,1.833,0.0,3.462,90.35,42.87
2026-12-21,AM,8,11,8.769,1319.008,1,36.416,1,"[0, 1648, 2075, 1487, 2221, 968, 975, 989, 1379, 118, 38, 428, 0]",11,8.769,1319.008,36.416,1.457,1.833,0.0,3.29,97.43,43.97
2026-12-21,AM,9,3,3.555,533.146,1,33.157,1,"[0, 988, 423, 404, 0]",3,3.555,533.146,33.157,1.326,0.5,0.0,1.826,39.5,17.77
2026-12-21,PM,13,7,8.453,1335.178,1,20.339,1,"[0, 490, 1527, 1530, 1006, 703, 831, 548, 0]",7,8.453,1335.178,20.339,0.814,1.167,0.0,1.98,93.93,44.51
2026-12-21,PM,14,7,8.864,1226.106,1,17.043,1,"[0, 1635, 1660, 1669, 1682, 1643, 973, 827, 0]",7,8.864,1226.106,17.043,0.682,1.167,0.0,1.848,98.49,40.87
2026-12-21,PM,15,7,7.5,1020.895,1,16.607,1,"[0, 2081, 2143, 1580, 1772, 1789, 254, 822, 0]",7,7.5,1020.895,16.607,0.664,1.167,0.0,1.831,83.33,34.03
2026-12-21,PM,17,7,6.999,1150.504,1,19.024,1,"[0, 642, 1902, 1637, 1892, 1840, 618, 277, 0]",7,6.999,1150.504,19.024,0.761,1.167,0.0,1.928,77.77,38.35
2026-12-21,PM,18,5,7.676,1009.817,1,25.572,1,"[0, 1905, 1819, 1121, 288, 1068, 0]",5,7.676,1009.817,25.572,1.023,0.833,0.0,1.856,85.29,33.66
